Concurso,Data Sorteio,Bola1 sorteio 1,Bola2 sorteio 1,Bola3 sorteio 1,Bola4 Sorteio 1,Bola5 sorteio 1,Bola6 sorteio 1,Ganhadores 6 acertos  Sorteio 1,Cidade / UF,Rateio 6 acertos  Sorteio1,Ganhadores 5   acertos Sorteio1,Rateio 5 acertos Sorteio1,Ganhadores 4 acertos Sorteio1,Rateio 4 acertos Sorteio1,Ganhadores 3 acertos Sorteio1,Rateio 3 acertos Sorteio1,Bola1 sorteio 2,Bola2 sorteio 2,Bola3 sorteio 2,Bola4 Sorteio 2,Bola5 sorteio 2,Bola6 sorteio 2,Ganhadores 6 acertos Sorteio2,Rateio 6 acertos  Sorteio 2,Ganhadores 5 acertos Sorteio2,Rateio 5 acertos Sorteio 2,Ganhadores 4 acertos Sorteio2,Rateio 4 acertos Sorteio 2,Ganhadores 3 acertos Sorteio2,Rateio 3 acertos Sorteio 2, Acumulado 6 acertos sorteio 1,Arrecadacao Total,Estimativa Prêmio,Acumulado Sorteio Especial Dupla de Páscoa,Observação
1,06/11/2001,7,15,24,41,48,50,0,,"R$0,00",0,"R$0,00",0,"R$0,00",0,"R$0,00",9,37,41,43,44,49,0,"R$0,00",55,"R$2.317,59",1307,"R$97,16",0,"R$0,00",Sim,"R$0,00","R$0,00","R$0,00",Estimativa prêmio SENA (1º SORTEIO) próximo concurso: R$ 800 MIL.
2,09/11/2001,4,9,11,32,38,42,0,,"R$0,00",0,"R$0,00",0,"R$0,00",0,"R$0,00",9,13,19,24,29,46,0,"R$0,00",35,"R$2.655,40",2014,"R$45,98",0,"R$0,00",Sim,"R$0,00","R$0,00","R$0,00",Estimativa de prêmio para o próximo concurso: 1º sorteio(SENA):R$ 1 MILHÃO.
3,13/11/2001,11,34,42,44,45,47,0,,"R$0,00",0,"R$0,00",0,"R$0,00",0,"R$0,00",12,24,30,40,47,48,0,"R$0,00",21,"R$4.719,93",1264,"R$78,13",0,"R$0,00",Sim,"R$0,00","R$0,00","R$0,00","Estimativa prêmio próximo conc 1º SORTEIO (SENA): R$1.300.000,00."
4,16/11/2001,29,38,43,44,46,50,0,,"R$0,00",0,"R$0,00",0,"R$0,00",0,"R$0,00",2,7,11,44,46,49,0,"R$0,00",8,"R$10.668,17",1042,"R$81,59",0,"R$0,00",Sim,"R$0,00","R$0,00","R$0,00","Estimativa prêmio (1º sorteio - sena) próximo concurso: R$1.600.000,00."
5,20/11/2001,7,12,16,25,32,40,0,,"R$0,00",0,"R$0,00",0,"R$0,00",0,"R$0,00",3,10,12,19,26,49,0,"R$0,00",34,"R$2.943,35",1804,"R$55,26",0,"R$0,00",Sim,"R$0,00","R$0,00","R$0,00","Estimativa de prêmio (SENA-1º SORTEIO) para o próximo concurso: R$ 1.900.000,00."
6,23/11/2001,9,13,14,16,31,41,0,,"R$0,00",0,"R$0,00",0,"R$0,00",0,"R$0,00",2,31,35,36,42,47,0,"R$0,00",16,"R$7.283,67",1160,"R$100,09",0,"R$0,00",Sim,"R$0,00","R$0,00","R$0,00","Estimativa de prêmio (SENA-1ºsorteio) próximo concurso: R$ 2.200.000,00."
7,27/11/2001,6,9,17,23,24,32,0,,"R$0,00",0,"R$0,00",0,"R$0,00",0,"R$0,00",5,8,28,30,32,45,0,"R$0,00",35,"R$3.475,19",2040,"R$59,40",0,"R$0,00",Sim,"R$0,00","R$0,00","R$0,00","Estimativa prêmio (SENA-1ºSORTEIO) próximo concurso: R$2.600.000,00."
8,30/11/2001,11,24,29,32,38,39,0,,"R$0,00",0,"R$0,00",0,"R$0,00",0,"R$0,00",2,14,17,30,31,39,0,"R$0,00",22,"R$5.070,93",1279,"R$86,89",0,"R$0,00",Sim,"R$0,00","R$0,00","R$0,00","Estimativa prêmio (SENA-1ºSORTEIO) próximo concurso: R$3.000.000,00."
9,04/12/2001,10,18,22,37,42,44,1,RS,"R$2.979.726,32",0,"R$0,00",0,"R$0,00",0,"R$0,00",10,26,31,37,42,46,0,"R$0,00",17,"R$8.219,01",1300,"R$107,08",0,"R$0,00",Não,"R$0,00","R$0,00","R$0,00","Estimativa prêmio (SENA-1ºSORTEIO) próximo concurso: R$350.000,00. Valor acumulado para a SENA-1ºsorteio é de R$209.584,55."
10,07/12/2001,17,19,31,34,39,44,0,,"R$0,00",0,"R$0,00",0,"R$0,00",0,"R$0,00",4,5,11,20,24,40,0,"R$0,00",31,"R$3.082,65",1342,"R$70,94",0,"R$0,00",Sim,"R$0,00","R$0,00","R$0,00","ESTIMATIVA DE PRÊMIO (SENA) PRÓXIMO CONCURSO: R$ 700.000,00."
11,11/12/2001,2,4,8,27,36,43,0,,"R$0,00",0,"R$0,00",0,"R$0,00",0,"R$0,00",5,8,17,40,43,45,0,"R$0,00",12,"R$7.862,55",1159,"R$81,11",0,"R$0,00",Sim,"R$0,00","R$0,00","R$0,00","Estimativa de prêmio (SENA-1ºsorteio) próximo concurso: R$1.000.000,00."
12,14/12/2001,12,21,28,29,45,48,0,,"R$0,00",0,"R$0,00",0,"R$0,00",0,"R$0,00",15,18,19,20,25,31,0,"R$0,00",22,"R$4.381,45",1316,"R$72,98",0,"R$0,00",Sim,"R$0,00","R$0,00","R$0,00","Estimativa de prêmio (SENA-1ºSORTEIO) próximo concurso: R$1.300.000,00."
13,18/12/2001,1,3,31,33,37,46,0,,"R$0,00",0,"R$0,00",0,"R$0,00",0,"R$0,00",4,13,31,43,47,49,0,"R$0,00",26,"R$3.821,55",1503,"R$65,86",0,"R$0,00",Sim,"R$0,00","R$0,00","R$0,00","Estimativa de prêmio (1ºSORTEIO-SENA) próximo concurso: R$1.500.000,00."
14,21/12/2001,6,7,33,38,39,47,0,,"R$0,00",0,"R$0,00",0,"R$0,00",0,"R$0,00",5,12,14,16,19,26,0,"R$0,00",36,"R$2.807,55",2196,"R$45,86",0,"R$0,00",Sim,"R$0,00","R$0,00","R$0,00","Estimativa de prêmio (SENA-1ºSORTEIO) próximo concurso: R$1.900.000,00."
15,28/12/2001,4,30,32,40,43,44,0,,"R$0,00",0,"R$0,00",0,"R$0,00",0,"R$0,00",7,13,20,23,28,34,0,"R$0,00",35,"R$3.926,93",2057,"R$66,57",0,"R$0,00",Sim,"R$0,00","R$0,00","R$0,00","Estimativa de prêmio (SENA-1ºSORTEIO) próximo concurso: R$2.300.000,00."
16,04/01/2002,19,21,25,26,41,46,0,,"R$0,00",0,"R$0,00",0,"R$0,00",0,"R$0,00",5,6,22,27,31,38,1,"R$236.934,09",28,"R$5.641,29",1927,"R$81,66",0,"R$0,00",Sim,"R$0,00","R$0,00","R$0,00","Estimativa de prêmio (SENA-1ºSORTEIO) próximo concurso: R$2.500.000,00. O ganhador da SENA-2ºSORTEIO é de Barueri/SP."
17,08/01/2002,3,5,14,43,44,47,0,,"R$0,00",0,"R$0,00",0,"R$0,00",0,"R$0,00",1,2,27,36,37,43,0,"R$0,00",14,"R$8.433,52",1337,"R$87,98",0,"R$0,00",Sim,"R$0,00","R$0,00","R$0,00","Estimativa de prêmio (SENA-1ºSORTEIO) próximo concurso: R$2.800.000,00."
18,11/01/2002,15,27,28,35,41,50,0,,"R$0,00",0,"R$0,00",0,"R$0,00",0,"R$0,00",1,13,14,22,23,38,0,"R$0,00",17,"R$7.600,88",1485,"R$86,68",0,"R$0,00",Sim,"R$0,00","R$0,00","R$0,00","Estimativa de prêmio (SENA-1ºSORTEIO) próximo concurso: R$3.300.000,00."
19,15/01/2002,5,10,19,25,33,34,0,,"R$0,00",0,"R$0,00",0,"R$0,00",0,"R$0,00",15,24,27,32,39,47,0,"R$0,00",62,"R$2.150,68",2252,"R$58,99",0,"R$0,00",Sim,"R$0,00","R$0,00","R$0,00","Estimativa de prêmio (SENA-1ºSORTEIO) próximo concurso: R$3.700.000,00."
20,18/01/2002,7,13,16,26,45,49,0,,"R$0,00",0,"R$0,00",0,"R$0,00",0,"R$0,00",18,25,39,43,47,48,0,"R$0,00",40,"R$3.385,48",2245,"R$60,10",0,"R$0,00",Sim,"R$0,00","R$0,00","R$0,00","Estimativa de prêmio (SENA-1ºSORTEIO) próximo concurso: R$4.000.000,00 (QUATRO MILHÕES!!!)."
21,22/01/2002,6,14,17,30,37,44,0,,"R$0,00",0,"R$0,00",0,"R$0,00",0,"R$0,00",6,9,14,20,24,26,0,"R$0,00",24,"R$5.260,20",1767,"R$71,18",0,"R$0,00",Sim,"R$0,00","R$0,00","R$0,00","Estimativa de prêmio (SENA-1ºSORTEIO) próximo concurso: R$4.400.000,00."
22,25/01/2002,2,17,27,29,34,42,1,PR,"R$4.431.627,73",0,"R$0,00",0,"R$0,00",0,"R$0,00",7,13,28,34,42,43,0,"R$0,00",57,"R$2.171,95",2962,"R$41,64",0,"R$0,00",Não,"R$0,00","R$0,00","R$0,00","Estimativa de prêmio (SENA-1ºSORTEIO) próximo concurso: R$350.000,00. Valor acumulado para a sena-1ºsorteio: R$185.701,88."
23,29/01/2002,8,9,10,11,22,42,0,,"R$0,00",0,"R$0,00",0,"R$0,00",0,"R$0,00",4,7,8,20,34,37,0,"R$0,00",17,"R$4.568,76",1059,"R$73,07",0,"R$0,00",Sim,"R$0,00","R$0,00","R$0,00","Estimativa de prêmio (SENA-1ºSORTEIO) próximo concurso: R$600.000,00."
24,01/02/2002,19,24,25,26,42,44,1,SP,"R$541.936,00",0,"R$0,00",0,"R$0,00",0,"R$0,00",1,6,11,15,16,36,0,"R$0,00",28,"R$2.933,99",1216,"R$67,31",0,"R$0,00",Não,"R$0,00","R$0,00","R$0,00","Estimativa de prêmio (SENA-1ºSORTEIO) próximo concurso: R$250.000,00. Valor acumulado para a sena-1ºsorteio: R$123.227,57."
25,05/02/2002,6,15,30,35,42,46,0,,"R$0,00",0,"R$0,00",0,"R$0,00",0,"R$0,00",19,23,24,33,41,44,0,"R$0,00",19,"R$3.815,56",1091,"R$66,20",0,"R$0,00",Sim,"R$0,00","R$0,00","R$0,00","Estimativa de prêmio (SENA-1ºSORTEIO) próximo concurso: R$450.000,00."
26,08/02/2002,2,4,8,17,23,38,0,,"R$0,00",0,"R$0,00",0,"R$0,00",0,"R$0,00",4,19,26,39,48,49,0,"R$0,00",9,"R$9.541,00",1143,"R$74,85",0,"R$0,00",Sim,"R$0,00","R$0,00","R$0,00","Estimativa de prêmio (SENA-1ºSORTEIO) próximo concurso: R$700.000,00."
27,15/02/2002,5,7,19,29,32,35,0,,"R$0,00",0,"R$0,00",0,"R$0,00",0,"R$0,00",3,28,37,42,44,47,0,"R$0,00",20,"R$4.849,09",1344,"R$71,89",0,"R$0,00",Sim,"R$0,00","R$0,00","R$0,00","Estimativa de prêmio (SENA-1ºSORTEIO) próximo concurso: R$1.000.000,00 (HUM MILHÃO!!!)."
28,19/02/2002,1,10,13,22,26,38,0,,"R$0,00",0,"R$0,00",0,"R$0,00",0,"R$0,00",27,30,31,34,40,49,0,"R$0,00",7,"R$11.130,19",607,"R$127,88",0,"R$0,00",Sim,"R$0,00","R$0,00","R$0,00","Estimativa de prêmio (SENA-1ºSORTEIO) próximo concurso: R$1.200.000,00."
29,22/02/2002,1,12,19,23,39,50,0,,"R$0,00",0,"R$0,00",0,"R$0,00",0,"R$0,00",16,25,35,41,45,47,0,"R$0,00",11,"R$7.614,58",928,"R$89,92",0,"R$0,00",Sim,"R$0,00","R$0,00","R$0,00","Estimativa de prêmio (SENA-1ºSORTEIO) próximo concurso: R$1.500.000,00."
30,26/02/2002,8,18,21,33,36,46,0,,"R$0,00",0,"R$0,00",0,"R$0,00",0,"R$0,00",3,5,13,15,28,43,0,"R$0,00",27,"R$2.986,32",1775,"R$45,26",0,"R$0,00",Sim,"R$0,00","R$0,00","R$0,00","Estimativa de prêmio (SENA-1ºSORTEIO) próximo concurso: R$1.800.000,00."
31,01/03/2002,5,19,20,29,32,43,0,,"R$0,00",0,"R$0,00",0,"R$0,00",0,"R$0,00",31,35,36,46,47,49,0,"R$0,00",19,"R$4.600,37",758,"R$114,89",0,"R$0,00",Sim,"R$0,00","R$0,00","R$0,00","Estimativa de prêmio (SENA-1ºSORTEIO) próximo concurso: R$2.000.000,00 (DOIS MILHÕES!!)."
32,05/03/2002,18,20,24,30,39,47,0,,"R$0,00",0,"R$0,00",0,"R$0,00",0,"R$0,00",6,12,14,25,26,39,0,"R$0,00",27,"R$3.174,29",1416,"R$60,30",0,"R$0,00",Sim,"R$0,00","R$0,00","R$0,00","Estimativa de prêmio (SENA) próximo concurso: R$ 2.300.000,00."
33,08/03/2002,11,16,17,19,24,32,0,,"R$0,00",0,"R$0,00",0,"R$0,00",0,"R$0,00",13,21,22,25,33,49,0,"R$0,00",21,"R$4.426,25",1443,"R$64,18",0,"R$0,00",Sim,"R$0,00","R$0,00","R$0,00","Estimativa de prêmio (SENA - 1ºSorteio) próximo concurso: R$2.600.000,00."
34,12/03/2002,1,7,29,40,41,45,0,,"R$0,00",0,"R$0,00",0,"R$0,00",0,"R$0,00",1,15,22,24,29,45,0,"R$0,00",29,"R$3.610,00",1454,"R$71,73",0,"R$0,00",Sim,"R$0,00","R$0,00","R$0,00","Estimativa de prêmio (SENA-1ºSORTEIO) próximo concurso: R$3.000.000,00 (TRÊS MILHÕES!!!)."
35,15/03/2002,1,2,6,26,30,45,0,,"R$0,00",0,"R$0,00",0,"R$0,00",0,"R$0,00",7,8,13,28,33,47,1,"R$175.661,04",85,"R$1.377,74",3194,"R$36,53",0,"R$0,00",Sim,"R$0,00","R$0,00","R$0,00","Estimativa prêmio (SENA 1º Sorteio) próximo concurso: R$3.000.000,00. O ganhador da SENA 2º Sorteio é do PARANÁ."
36,19/03/2002,9,12,14,17,22,50,0,,"R$0,00",0,"R$0,00",0,"R$0,00",0,"R$0,00",2,13,41,42,44,45,0,"R$0,00",19,"R$5.912,09",1557,"R$71,88",0,"R$0,00",Sim,"R$0,00","R$0,00","R$0,00","Estimativa de prêmio (SENA-1ºSORTEIO) próximo concurso: R$3.400.000,00."
37,22/03/2002,11,25,33,45,47,48,0,,"R$0,00",0,"R$0,00",0,"R$0,00",0,"R$0,00",10,11,29,30,45,47,0,"R$0,00",39,"R$3.344,66",1686,"R$77,08",0,"R$0,00",Sim,"R$0,00","R$0,00","R$0,00","Estimativa de prêmio (SENA-1ºSORTEIO) próximo concurso: R$3.900.000,00."
38,26/03/2002,2,18,19,31,39,46,0,,"R$0,00",0,"R$0,00",0,"R$0,00",0,"R$0,00",15,22,24,29,45,48,0,"R$0,00",224,"R$582,55",2291,"R$56,96",0,"R$0,00",Sim,"R$0,00","R$0,00","R$0,00","Estimativa de prêmio (SENA-1ºSORTEIO) próximo concurso: R$4.300.000,00."
39,02/04/2002,3,12,15,37,44,50,1,SP,"R$4.268.873,40",0,"R$0,00",0,"R$0,00",0,"R$0,00",7,22,28,34,44,46,0,"R$0,00",64,"R$2.536,43",2716,"R$59,55",0,"R$0,00",Não,"R$0,00","R$0,00","R$0,00","Estimativa de prêmio (SENA-1ºSORTEIO) próximo concurso: R$400.000,00. Valor acumulado p/a SENA-1ºSORTEIO: R$243.497,43."
40,05/04/2002,4,9,15,21,23,32,0,,"R$0,00",0,"R$0,00",0,"R$0,00",0,"R$0,00",6,8,9,15,36,41,0,"R$0,00",12,"R$6.136,95",1114,"R$65,86",0,"R$0,00",Sim,"R$0,00","R$0,00","R$0,00","Estimativa de prêmio (SENA-1ºSORTEIO) próximo concurso: R$600.000,00."
41,09/04/2002,15,22,25,32,34,47,0,,"R$0,00",0,"R$0,00",0,"R$0,00",0,"R$0,00",6,18,26,28,33,43,0,"R$0,00",13,"R$5.696,49",858,"R$85,99",0,"R$0,00",Sim,"R$0,00","R$0,00","R$0,00","Estimativa de prêmio (SENA-1ºSORTEIO) próximo concurso: R$800.000,00."
42,12/04/2002,5,6,14,39,42,48,1,RN,"R$803.642,47",0,"R$0,00",0,"R$0,00",0,"R$0,00",4,21,27,38,43,45,0,"R$0,00",30,"R$2.601,16",1139,"R$68,25",0,"R$0,00",Não,"R$0,00","R$0,00","R$0,00","Estimativa de prêmio (SENA-1ºSORTEIO) próximo concurso: R$230.000,00 - Valor acumulado para a SENA-1ºSORTEIO: R$117.052,29."
43,17/04/2002,1,10,32,34,39,43,0,,"R$0,00",0,"R$0,00",0,"R$0,00",0,"R$0,00",5,11,26,32,39,41,0,"R$0,00",16,"R$4.037,58",784,"R$82,09",0,"R$0,00",Sim,"R$0,00","R$0,00","R$0,00","Estimativa de prêmio (SENA-1ºSorteio); próximo concurso: R$420.000,00."
44,19/04/2002,3,9,15,28,35,45,1,SP,"R$420.070,34",0,"R$0,00",0,"R$0,00",0,"R$0,00",3,4,30,33,42,45,0,"R$0,00",14,"R$5.200,68",892,"R$81,31",0,"R$0,00",Não,"R$0,00","R$0,00","R$0,00","Acumulado para SENA 1º SORTEIO: R$109.214,24. Estimativa de prêmio próximo concurso: R$220.000,00."
45,23/04/2002,2,19,23,28,44,47,0,,"R$0,00",0,"R$0,00",0,"R$0,00",0,"R$0,00",21,30,36,42,46,49,0,"R$0,00",4,"R$14.867,47",444,"R$133,44",0,"R$0,00",Sim,"R$0,00","R$0,00","R$0,00","Estimativa de prêmio (SENA-1ºSORTEIO) próximo concurso: R$400.000,00."
46,26/04/2002,1,9,14,26,29,41,0,,"R$0,00",0,"R$0,00",0,"R$0,00",0,"R$0,00",16,20,30,34,39,42,0,"R$0,00",13,"R$4.957,24",580,"R$110,69",0,"R$0,00",Sim,"R$0,00","R$0,00","R$0,00","Estimativa prêmio(SENA 1º SORTEIO)próximo concurso: R$600.000,00."
47,30/04/2002,3,13,21,26,34,37,0,,"R$0,00",0,"R$0,00",0,"R$0,00",0,"R$0,00",6,9,22,28,30,44,0,"R$0,00",17,"R$4.027,66",1148,"R$59,42",0,"R$0,00",Sim,"R$0,00","R$0,00","R$0,00","Estimativa de prêmio (SENA - 1º Sorteio) próximo concurso: R$800.000,00."
48,03/05/2002,16,23,32,41,42,43,0,,"R$0,00",0,"R$0,00",0,"R$0,00",0,"R$0,00",2,18,19,39,42,49,0,"R$0,00",11,"R$5.784,17",833,"R$76,09",0,"R$0,00",Sim,"R$0,00","R$0,00","R$0,00","Estimativa de prêmio (SENA-1ºSORTEIO) próximo concurso: R$1.000.000,00."
49,07/05/2002,2,15,21,33,41,45,0,,"R$0,00",0,"R$0,00",0,"R$0,00",0,"R$0,00",29,32,35,41,45,49,0,"R$0,00",10,"R$6.909,98",652,"R$105,58",0,"R$0,00",Sim,"R$0,00","R$0,00","R$0,00","Estimativa de prêmio (SENA-1ºSORTEIO) próximo concurso: R$1.200.000,00."
50,10/05/2002,7,8,26,33,36,40,0,,"R$0,00",0,"R$0,00",0,"R$0,00",0,"R$0,00",2,13,15,34,35,42,0,"R$0,00",16,"R$4.642,88",1188,"R$62,30",0,"R$0,00",Sim,"R$0,00","R$0,00","R$0,00","Estimativa prêmio (SENA-1ºSorteio) próximo concurso: R$1.500.000,00."
51,14/05/2002,4,7,11,12,22,28,0,,"R$0,00",0,"R$0,00",0,"R$0,00",0,"R$0,00",33,41,42,45,47,48,0,"R$0,00",37,"R$1.997,74",1157,"R$63,65",0,"R$0,00",Sim,"R$0,00","R$0,00","R$0,00","Estimativa de prêmio (SENA-1ºSORTEIO) próximo concurso: R$1.700.000,00."
52,17/05/2002,3,17,26,39,42,48,0,,"R$0,00",0,"R$0,00",0,"R$0,00",0,"R$0,00",7,8,14,34,43,48,0,"R$0,00",15,"R$5.342,57",1220,"R$65,45",0,"R$0,00",Sim,"R$0,00","R$0,00","R$0,00","Estimativa de prêmio (SENA 1º SORTEIO) próximo concurso: R$ 1.900.000,00."
53,21/05/2002,4,5,20,23,29,42,0,,"R$0,00",0,"R$0,00",0,"R$0,00",0,"R$0,00",3,8,25,34,35,48,0,"R$0,00",20,"R$4.468,78",1480,"R$60,17",0,"R$0,00",Sim,"R$0,00","R$0,00","R$0,00","Estimativa de prêmio (SENA 1°SORTEIO)próximo concurso: R$ 2.200.000,00."
54,24/05/2002,4,5,23,27,34,36,0,,"R$0,00",0,"R$0,00",0,"R$0,00",0,"R$0,00",10,24,32,37,44,45,0,"R$0,00",28,"R$3.688,34",1538,"R$66,90",0,"R$0,00",Sim,"R$0,00","R$0,00","R$0,00","Estimativa de prêmio (SENA 1ºSORTEIO)próximo concurso: R$2.500.000,00"
55,28/05/2002,4,27,33,43,44,45,1,SP,"R$2.503.788,98",0,"R$0,00",0,"R$0,00",0,"R$0,00",6,17,24,26,42,46,0,"R$0,00",52,"R$2.003,53",2010,"R$51,64",0,"R$0,00",Não,"R$0,00","R$0,00","R$0,00","Estimativa de prêmio (SENA-1ºSORTEIO) próximo concurso: R$250.000,00. O ganhador da sena-1ºsorteio é de Ribeirão Preto/SP. Acumulado: R$156.275,40."
56,31/05/2002,3,10,18,33,40,47,0,,"R$0,00",0,"R$0,00",0,"R$0,00",0,"R$0,00",14,15,18,39,40,41,0,"R$0,00",12,"R$4.989,18",747,"R$79,85",0,"R$0,00",Sim,"R$0,00","R$0,00","R$0,00","Estimativa de prêmio (SENA-1ºSORTEIO) próximo concurso: R$440.000,00."
57,04/06/2002,1,18,23,35,38,46,0,,"R$0,00",0,"R$0,00",0,"R$0,00",0,"R$0,00",11,15,30,44,47,48,0,"R$0,00",10,"R$6.364,73",815,"R$77,81",0,"R$0,00",Sim,"R$0,00","R$0,00","R$0,00","Estimativa de prêmio (SENA 1ºSORTEIO) próximo concurso: R$600.000,00"
58,07/06/2002,14,23,25,32,33,42,0,,"R$0,00",0,"R$0,00",0,"R$0,00",0,"R$0,00",9,14,29,40,48,49,0,"R$0,00",13,"R$5.736,41",730,"R$101,78",0,"R$0,00",Sim,"R$0,00","R$0,00","R$0,00","Estimativa de prêmio (SENA-1ºSORTEIO)próximo concurso: R$900.000,00."
59,11/06/2002,2,16,28,33,38,46,0,,"R$0,00",0,"R$0,00",0,"R$0,00",0,"R$0,00",23,28,32,35,38,43,0,"R$0,00",26,"R$2.742,00",1077,"R$65,95",0,"R$0,00",Sim,"R$0,00","R$0,00","R$0,00","Estimativa de prêmio (SENA 1º SORTEIO ) próximo concurso R$1.100.000,00."
60,14/06/2002,12,15,29,35,36,43,0,,"R$0,00",0,"R$0,00",0,"R$0,00",0,"R$0,00",3,7,21,29,34,49,0,"R$0,00",15,"R$4.945,51",1241,"R$59,56",0,"R$0,00",Sim,"R$0,00","R$0,00","R$0,00","Estimativa de prêmio (SENA 1ºSORTEIO)próximo concurso: R$1.300.000,00."
61,18/06/2002,1,9,18,28,32,36,0,,"R$0,00",0,"R$0,00",0,"R$0,00",0,"R$0,00",10,17,24,30,38,41,1,"R$106.661,45",23,"R$3.091,64",934,"R$75,86",0,"R$0,00",Sim,"R$0,00","R$0,00","R$0,00","Estimativa de prêmio SENA (1º SORTEIO) R$1.400.000,00. O ganhador da SENA (2º SORTEIO) é de Fortaleza/CE."
62,21/06/2002,4,8,23,28,38,43,0,,"R$0,00",0,"R$0,00",0,"R$0,00",0,"R$0,00",5,11,27,42,47,48,0,"R$0,00",26,"R$2.844,62",1372,"R$53,70",0,"R$0,00",Sim,"R$0,00","R$0,00","R$0,00","Estimativa de prêmio ( SENA 1ºSORTEIO ) próximo concurso: R$1.600.000,00"
63,25/06/2002,5,9,10,16,40,47,0,,"R$0,00",0,"R$0,00",0,"R$0,00",0,"R$0,00",12,24,28,30,41,46,0,"R$0,00",34,"R$2.427,01",1188,"R$69,20",0,"R$0,00",Sim,"R$0,00","R$0,00","R$0,00","Estimativa de prêmio (SENA 1ºSORTEIO) próximo concurso: R$1.900.000,00"
64,28/06/2002,10,11,12,26,37,42,0,,"R$0,00",0,"R$0,00",0,"R$0,00",0,"R$0,00",15,16,32,42,44,49,0,"R$0,00",19,"R$5.170,18",1224,"R$79,96",0,"R$0,00",Sim,"R$0,00","R$0,00","R$0,00","Estimativa de prêmio (SENA 1ºSORTEIO) próximo concurso: R$2.200.000,00."
65,02/07/2002,1,5,8,14,29,44,0,,"R$0,00",0,"R$0,00",0,"R$0,00",0,"R$0,00",11,14,18,23,28,35,0,"R$0,00",24,"R$3.938,30",1480,"R$63,63",0,"R$0,00",Sim,"R$0,00","R$0,00","R$0,00","Estimativa de prêmio (SENA-1ºSORTEIO) próximo concurso: R$2.500.000,00."
66,05/07/2002,6,17,19,31,33,47,0,,"R$0,00",0,"R$0,00",0,"R$0,00",0,"R$0,00",13,15,24,39,47,49,0,"R$0,00",25,"R$4.272,81",1682,"R$63,27",0,"R$0,00",Sim,"R$0,00","R$0,00","R$0,00","Estimativa de prêmio (SENA-1ºSORTEIO) próximo concurso: R$2.800.000,00."
67,09/07/2002,34,35,40,43,46,48,0,,"R$0,00",0,"R$0,00",0,"R$0,00",0,"R$0,00",2,12,18,33,34,49,0,"R$0,00",13,"R$7.219,12",1126,"R$83,04",0,"R$0,00",Sim,"R$0,00","R$0,00","R$0,00","Estimativa de prêmio (SENA-1ºSORTEIO) próximo concurso: R$3.100.000,00."
68,12/07/2002,3,12,15,21,24,28,1,RS,"R$3.112.887,14",0,"R$0,00",0,"R$0,00",0,"R$0,00",9,11,13,18,38,43,0,"R$0,00",22,"R$5.138,03",2042,"R$55,14",0,"R$0,00",Não,"R$0,00","R$0,00","R$0,00","Estimativa de prêmio (SENA-1ºSORTEIO) próximo concurso: R$270.000,00. O ganhador da sena-1ºsorteio é de Gravataí/RS."
69,16/07/2002,2,9,14,18,37,47,0,,"R$0,00",0,"R$0,00",0,"R$0,00",0,"R$0,00",14,25,27,35,45,49,0,"R$0,00",10,"R$6.365,59",996,"R$63,67",0,"R$0,00",Sim,"R$0,00","R$0,00","R$0,00","Estimativa de prêmio (SENA-1ºSORTEIO) próximo concurso: R$450.000,00"
70,19/07/2002,17,23,25,26,29,46,0,,"R$0,00",0,"R$0,00",0,"R$0,00",0,"R$0,00",2,14,20,22,40,49,0,"R$0,00",12,"R$5.664,11",670,"R$101,07",0,"R$0,00",Sim,"R$0,00","R$0,00","R$0,00","Estimativa de prêmio (SENA-1ºSORTEIO) próximo concurso: R$700.000,00."
71,23/07/2002,15,25,33,36,45,47,0,,"R$0,00",0,"R$0,00",0,"R$0,00",0,"R$0,00",7,8,12,37,42,49,0,"R$0,00",21,"R$3.231,75",1052,"R$64,28",0,"R$0,00",Sim,"R$0,00","R$0,00","R$0,00","Estimativa de prêmio (SENA-1ºSORTEIO) próximo concurso: R$900.000,00."
72,26/07/2002,8,14,34,37,39,47,0,,"R$0,00",0,"R$0,00",0,"R$0,00",0,"R$0,00",1,2,5,16,32,48,0,"R$0,00",24,"R$3.058,74",1212,"R$60,34",0,"R$0,00",Sim,"R$0,00","R$0,00","R$0,00","Estimativa de prêmio (SENA-1ºSORTEIO) próximo concurso: R$1.100.000,00."
73,30/07/2002,6,17,21,33,40,45,0,,"R$0,00",0,"R$0,00",0,"R$0,00",0,"R$0,00",1,6,20,39,48,49,0,"R$0,00",11,"R$6.570,60",620,"R$116,14",0,"R$0,00",Sim,"R$0,00","R$0,00","R$0,00","Estimativa de prêmio (SENA-1ºSORTEIO) próximo concurso: R$1.300.000,00."
74,02/08/2002,7,12,15,16,28,46,0,,"R$0,00",0,"R$0,00",0,"R$0,00",0,"R$0,00",4,13,15,24,27,39,0,"R$0,00",23,"R$3.860,50",1813,"R$48,80",0,"R$0,00",Sim,"R$0,00","R$0,00","R$0,00","Estimativa de prêmio (SENA-1ºSORTEIO) próximo concurso: R$1.600.000,00"
75,06/08/2002,7,11,13,22,30,43,0,,"R$0,00",0,"R$0,00",0,"R$0,00",0,"R$0,00",16,19,23,28,34,41,0,"R$0,00",33,"R$2.695,68",1450,"R$61,12",0,"R$0,00",Sim,"R$0,00","R$0,00","R$0,00","Estimativa de prêmio do 1º sorteio (sena) para o próximo concurso: R$ 1.900.000,00."
